Event	ID	Name			Wwise Object Path	Notes
	556212125	Play_Radar_Ping			\Default Work Unit\Play_Radar_Ping	
	811497892	Play_Airlock_Drain			\Default Work Unit\Play_Airlock_Drain	
	1234110288	Play_Test_Ambi			\Default Work Unit\Play_Test_Ambi	
	1785420617	Play_Airlock_Fill			\Default Work Unit\Play_Airlock_Fill	
	2547633870	Play_Door			\Default Work Unit\Play_Door	

Game Parameter	ID	Name			Wwise Object Path	Notes
	34996162	Insanity			\Default Work Unit\Insanity	

Effect plug-ins	ID	Name	Type				Notes
	2038996943	Plate_Sizzle	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	56939465	Airlock_Fill	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\Airlock_Fill_5sec_28DEB0C8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Airlock_Fill		66525
	58144877	Eugene Weeping_06	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\Eugene Weeping_7CC9137E.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\Eugene Weeping_06		34297
	64546027	crz_whispers(VigneshRamesh)_07	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\crz_whispers(VigneshRamesh)_D24CDE1B.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\crz_whispers(VigneshRamesh)_07		35671
	64757065	Eugene Laughing_02	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\Eugene Laughing_8A71709B.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\Eugene Laughing_02		21483
	91139658	crz_whispers(VigneshRamesh)_10	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\crz_whispers(VigneshRamesh)_326E7317.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\crz_whispers(VigneshRamesh)_10		30431
	92015523	crz_whispers(VigneshRamesh)_05	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\crz_whispers(VigneshRamesh)_64DC4475.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\crz_whispers(VigneshRamesh)_05		20597
	118832449	Eugene Laughing_06	C:\Users\Misha\Documents\GitHub\sea-officially-lost\Wwise Project\SOL\.cache\Linux\SFX\Eugene Laughing_3325064F.wem		\Actor-Mixer Hierarchy\Insanity\Crazy_Top\Crazy_Sounds_01\Eugene Laughing_06		25921
